iter	Accuracy	Logloss
776	0.9681185185	0.09225272948
777	0.9681185185	0.09220804396
778	0.968237037	0.09213491652
779	0.968237037	0.09208540751
780	0.9682074074	0.09204550077
781	0.9682962963	0.09199367657
782	0.9684444444	0.09196565587
783	0.9685925926	0.09191756469
784	0.9685333333	0.09189600766
785	0.9687111111	0.09184288416
786	0.9687703704	0.09177467468
787	0.9686518519	0.09170964252
788	0.9687111111	0.0915913864
789	0.9688	0.09152102608
790	0.9688296296	0.09145687837
791	0.9689777778	0.09139495931
792	0.9690074074	0.09133450102
793	0.9690666667	0.0912985114
794	0.9691259259	0.09123258273
795	0.9690666667	0.09116231757
796	0.9691555556	0.09106591374
797	0.9691851852	0.09099103837
798	0.9691555556	0.09093450541
799	0.9691555556	0.09089858758
800	0.9691555556	0.09084426312
801	0.9691259259	0.09078486569
802	0.9691555556	0.09072468401
803	0.9692444444	0.09064431313
804	0.9692740741	0.09060416721
805	0.9693037037	0.09056300939
806	0.9693333333	0.09053557207
807	0.9694814815	0.09038372621
808	0.9695407407	0.09032832244
809	0.9695703704	0.09024217466
810	0.9696592593	0.09020993674
811	0.9696592593	0.09017139132
812	0.9697185185	0.090088262
813	0.9697185185	0.09002176713
814	0.9696888889	0.08997478526
815	0.9698074074	0.08993805099
816	0.9697185185	0.08989659815
817	0.9697777778	0.08985411025
818	0.9698962963	0.08978624392
819	0.9699259259	0.08975367497
820	0.9699259259	0.08969783149
821	0.9699851852	0.08966699752
822	0.9699851852	0.0896436067
823	0.9700148148	0.0895886291
824	0.9701333333	0.08956624549
825	0.9701333333	0.08949485071
826	0.9701925926	0.08943071122
827	0.970162963	0.08940366638
828	0.9702518519	0.08934957007
829	0.9702222222	0.08931266936
830	0.9702814815	0.08928341754
831	0.9703703704	0.08918378867
832	0.9702814815	0.08912990663
833	0.9703703704	0.0890985069
834	0.9704	0.08899396482
835	0.9703111111	0.08894977826
836	0.9703703704	0.08891278352
837	0.9705777778	0.08878532243
838	0.9706666667	0.08872332494
839	0.9707851852	0.08868441075
840	0.9707259259	0.08866441901
841	0.9707851852	0.08862461959
842	0.9708740741	0.0885587615
843	0.9708148148	0.08852177196
844	0.9708740741	0.08849370932
845	0.9709925926	0.0884184548
846	0.9709925926	0.08838149447
847	0.9709925926	0.08831859351
848	0.9710814815	0.08827556699
849	0.9710814815	0.08822650839
850	0.9711111111	0.08817348082
851	0.9712	0.08811368944
852	0.9712	0.08809021659
853	0.9711703704	0.08804649185
854	0.9711703704	0.08798197858
855	0.9711407407	0.08791257465
856	0.9711407407	0.08789842088
857	0.9711703704	0.08787772779
858	0.9711407407	0.08781575788
859	0.9712592593	0.08776337192
860	0.9713481481	0.08772364111
861	0.9713185185	0.08770775982
862	0.9712888889	0.08762552143
863	0.9714074074	0.08755016607
864	0.9714074074	0.08750856382
865	0.9714666667	0.08745423067
866	0.9714666667	0.08740764438
867	0.9715259259	0.08733440724
868	0.971437037	0.08730297843
869	0.9715555556	0.08724689011
870	0.9715555556	0.08720767152
871	0.9715555556	0.08717176722
872	0.9715851852	0.08711924508
873	0.9716148148	0.08707413265
874	0.9716444444	0.08701856743
875	0.9716148148	0.08699159558
876	0.9716444444	0.08694194182
877	0.9716740741	0.08688657625
878	0.9718222222	0.08679787591
879	0.9718222222	0.08677971722
880	0.9718222222	0.08671652852
881	0.9717925926	0.08668750607
882	0.9718222222	0.08661888938
